Language,Page Position,2020 Census,brochure,cell phone,census questionnaire,community,confidential,congressional seat,education,emergency services,federal funding,guide,household,language,language guide (guide to complete the 2020 Census),person experiencing homelessness,privacy,protected by law,questionnaire,submitting your questionnaire,Title 13,U.S. Census Bureau,Web site,U.S. Census Bureau Toll-Free Phone Number,Infographic Explainer,Language Name (in Native Script),Link to Google Drive
Lao,Bottom,ການສາຫຼ ວດພົ ນລະເມື ອງປີ 2020,ໂບຣຊົ ວ,ໂທລະສັ ບມືຖື,ແບບສອບຖາມການສາຫຼ ວດພົ ນລະເມື ອງ,ຊຸ ມຊົ ນ,ເປັ ນຄວາມລັ ບ,ບີ່ ອນນັີ່ ງໃນສະພາ,ການສຶ ກສາ,ການບລິການສຸ ກເສີ ນ,ກອງທຶ ນຂອງລັ ດຖະບານກາງ,ຄາແນະນາ,ຄົ ວເຮື ອນ,ພາສາ,ຄາແນະນາດໍ້ ານພາສາ (ຄາແນະນາເພືີ່ ອເຮັ ດໃຫໍ້ ການສາຫຼ ວດພົ ນລະເມື ອງປີ 2020 ສາເລັ ດ),ຄົ ນທີີ່ ບີ່ ມີເຮື ອນຢີ່,ຄວາມເປັ ນສີ່ວນຕົ ວ,ປົ ກປໍ້ ອງໂດຍກົ ດໝາຍ,ແບບສອບຖາມ,ການສົີ່ ງແບບສອບຖາມຂອງທີ່ ານ,ມາດຕາ 13,ສານັ ກງານສາຫຼ ວດພົ ນລະເມື ອງແຫີ່ ງສະຫະລັ ດ,ເວັ ບໄຊ,,,ພາສາລາວ  ,https://drive.google.com/drive/folders/1tS3eCBHcQY5kwzp3A9GYFEnCOaCvPSzd?usp=sharing
Lithuanian,Bottom,2020 m. surašymas,brošiūra,mobilusis telefonas,surašymo apklausos anketa,bendruomenė,konfidencialus,Kongresas,išsilavinimas,skubios pagalbos paslaugos,federalinis finansavimas,vadovas,namų ūkis,kalba,kalbų vadovas (vadovas 2020 m. surašymui užbaigti),benamis asmuo,privatumas,teisiškai apsaugotas,apklausos anketa,apklausos anketos pateikimas,13 skirsnis,JAV gyventojų surašymo biuras,tinklalapis,,,Lietuvių Kalba,https://drive.google.com/drive/folders/1mjFNnxWcV3N2kNphnVtgEy66iXTzrVLp?usp=sharing
Malayalam,Bottom,2020 സെൻെെ്,ലഘുപലഖ,സെല്‍ പഫോൺ,സെൻെെ് പെോദയോവലി,ക്മ്മ്യൂണിറ്റി,രഹെയോത്മക്ാം,ന്ത്പതിനിധി െീറ്റ്,വിദയോഭയോൊം,അതയോഹിത പെവനങ്ങള്‍,സഫഡെല്‍ ഫണ്ടിാം്്,സ്ഡ്,വീേിസന ൊംേന്ധിച്ച,ഭോഷ,ഭോഷോ സ്ഡ് (2020 സല സെൻെെ് പൂര്‍ത്തിയോക്കുന്നതിനുള്ള സ്ഡ്),വീേ് ഇെോത്ത വയക്തി,െവക്ോരയത,നിയമത്തോല്‍ പരിരക്ഷിക്കസെട്ടത്,പെോദയോവലി,നിങ്ങേുസേ പെോദയോവലി െമര്‍െിക്കുന്നു, ീര്‍ഷക്ാം 13,യു.എെ്. സെന്െെ് േയൂപെോ,സവേ് സെറ്റ്,,,മലയാളം,https://drive.google.com/drive/folders/1sOf7pGZythQ-cwroVx47cTaCB-bAhJH1?usp=sharing
Mam,,,,,,,,,,,,,,,,,,,,,,,,,,Qyol mam,https://drive.google.com/drive/folders/1sFAp-AW67GQrJvXyhynKvnpu4J0Yy0ZD?usp=sharing
Marathi,Bottom,2020 जनगणना,पुस्स्त्तका,सेलफोन,जनगणना प्रश्नावली,समुदार्,गोपनीर्,मिासभेची जागा,सशक्षण,आपत्कालीन सेवा,फे डरल ननधी,मागदि  शकि,कु टुिंब,भाषा,भाषा मागदि  शकि     2020 ची  जनगणता  पणू   ि  करण्र्ासाठी  मागदि  सशकि   ा,बेघरपणा अनुभवणारी व्र्क्ती,खाजगीर्ता,कार्द्र्ाने सिंरक्षक्षत,प्रश्नावली,तुमची प्रश्नावली सादर करणे,शीषकि    13,र्ू एस  जनगणना कार्ािलर्,सिंके तस्त्र्थळ,,,मराठी,https://drive.google.com/drive/folders/1L2T51JZX141GojIRK2CjinaH59q1H6Wg?usp=sharing
Mien,Bottom,,,,,,,,,,,,,,,,,,,,,,,,,lu mienh/勉語 / ภาษาอิวเมี่ยน,https://drive.google.com/drive/folders/1zdHrbwS6jTCvDMzx6nra7OmMQw78fap_?usp=sharing
Mongolian,Bottom,2020 оны тооллого,,,,,,,,,,мэдээллийн удирдамж,,,,,,,,таны санал асуулгыг илгээх,,АНУ-ын тооллогын газар,Вэб сайт,,,Монгол,https://drive.google.com/drive/folders/1o-GVUlA4BhSGxHUrYHEo7MR-Bkd2qeUa?usp=sharing
Navajo,Bottom,2020g0ne' din4 daw0lta',naaltsoos hane' bik'i sinil7g77,bee hane'7 naat'1h7g77,naaltsoos bik'ehgo n'7d7kid7g77,din4 k44dahat'98di a['22 1daat'4h7g77,n7da'0lta'go b7na'7d44kidii baa h0ch'8',naat'1anii b1 haz'1n7d00,0lta' a[tso 1jiilaii,k44hojit'98gi an7dahazt'i' atah binahoji'1,w11shindoon bib4eso,bik'ehgo 1'jii['88h7g77,hooghan bii' dahaghan7g77,saad bee y1daati'ii,saad bee y1daati'ii bee b44h0zinii (bik'ehgo 2020g0ne' din4 n7daw0lta'go hazhdii['88h7g77),bighan 1dingo naagh1,hane' h0d44t'i'ii baa h0ch8',bee haz'1anii bee baa 1h1y3,bik'ehgo na'7d7kid7g77,ho[ 44lta'go hanaaltsoos yah an1'n77[,Title 13,U.S. W11shindoondi Din4 N7daw0lta' Bina'anishgi,B44sh nits4kees7 ahidadid7n7ilzhee'go bee na'anish,,,Diné Bizaad,https://drive.google.com/drive/folders/1vu3HjKbirRblcBRyTYx_j8U4neM-0jcp?usp=sharing
Nepali,Bottom,2020 जनगणना,ब्रोशर,मोबाइल फोन,जनगणना प्रश्नावली,समुदाय,गोप्य,कंग्रेस सीट,शिक्षा,आपकस्मिक सेवाहरू,संघीय लगानी,दिशाहरशका,गृहस्थी,भाषा,भाषा गाइड (2020 को जनगणना पूरा गर्नका लागि निर्देशनहरू),घरबारिबिहनता अनुभव ररहेको व्यक्ति,गोपनीयता,कानून द्वारा सुरक्षित,प्रश्नावली,तपाईंको प्रश्नावलीलाई बुझाउने ,टाइटल 13,अमेरिकी जनगणना ब्यूरो,वेबसाइट,,,नेपाली,https://drive.google.com/drive/folders/1EvoFiBIyzcyHVmvOdMNB2Dk_TA5KDU7z?usp=sharing
Pashto,Bottom,د 2020 سر شمیرنه,,,,,,,,,,لارښود,,,,,,,,ستاسو د پوښتنلیک وسپارئ,,د متحده ایالاتو د متحده ایالاتو د سرشمېرنې ریاست,ویب پاه,,,پښتو,https://drive.google.com/drive/folders/1KrIRCdQv5gT47XUD2wmawJZFMWamMJdP?usp=sharing
Polish,Top,Spis Ludności 2020,broszura,telefon komórkowy,kwestionariusz Spisu Ludności,społeczność,poufny,miejsce w Kongresie,edukacja,nagłych wypadkach,fundusze federalne,przewodnik,gospodarstwo domowe,język,przewodnik językowy (przewodnik do użytku przy wypełnianiu Spisu Ludności 2020),osoba doświadczająca bezdomności,prywatność,chronione przez prawo,kwestionariusz,przesyłanie kwestionariusza,Tytuł 13,Urząd Spisu Ludności USA,strona internetowa,844-479-2020,,Język Polski,https://drive.google.com/drive/folders/1jsnsx9pmWdijuqltJzHm9Fzic514e9tq?usp=sharing
Portuguese,Top,Censo de 2020,panfleto,telefone celular,questionário do censo,comunidade,confidencial,representante no congresso,educação,serviços de emergência,financiamento federal,guia,residência,idioma,guia linguístico (guia para completar o Censo de 2020),indivíduo em situação de rua,privacidade,protegido por lei,questionário,enviar questionário,Título 13,Agência do Censo dos EUA,website,844-474-2020,,Português,https://drive.google.com/drive/folders/1Kk8g-ypsNn6C2fhkiXSsCWea_2bUhb1Z?usp=sharing
Punjabi,Bottom,2020 ਜਨਗਣਨਾ,ਤਿਕਤਾਬਚਾ,ਸੈੱਲ ਫੋਨ,ਜਨਗਣਨਾ ਪਸ਼ਨਾਵਲੀ ,ਸਮੁਦਾਇ,ਗੁਪਤ,ਕਾਂਗਰਸ ਸੰਬੰਧੀ ਸੀਟ,ਸਿੱਖਿਆ,ਸੰਕਟਕਾਲੀ ਸੇਵਾਵਾਂ,ਸੰਘੀ ਫੰਡਿੰਗ,ਗਾਈਡ,ਪਿਰਵਾਰ,ਭਾਸ਼ਾ,ਭਾਸ਼ਾ ਗਾਈਡ (2020 ਦੀ ਜਨਗਣਨਾ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਮਾਰਗਦਰਸ਼ਕ),ਬੇਘਰ ਹੋਣ ਦਾ ਸਾਹਮਣਾ ਕਰ ਿਰਹਾਵਿਅਕਤੀ,ਿਨੱਜਤਾ,ਕਾਨੂੰਨ ਦੁਆਰਾ ਸੁਰੱਿਖਅਤ,ਪ੍ਰਸ਼ਨਾਵਲੀ,ਆਪਣੀ ਪ੍ਰਸ਼ਨਾਵਲੀ ਨੂੰ ਜਮ੍ਹਾਂ ਕਰਨਾ,ਿਸਰਲੇ ਖ 13,ਯੂ.ਐਸ. ਜਨਗਣਨਾ ਿਬਊਰੋ,ਵੈੱਬਸਾਈਟ,,"2020 ਦੀ ਜਨਗਣਨਾ ਵਿੱਚ ਆਪਣੀ ਗਿਣਤੀ ਕਰਵਾਓ।. ਜਦ ਤੁਸੀਂ ਜਵਾਬ ਦਿੰਦੇ ਹੋ ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਭਾਈਚਾਰੇ, ਸਿੱਖਿਆ, ਸੜਕਾਂ, ਸਿਹਤ ਸੰਭਾਲ, ਸਮਾਜਕ ਸੇਵਾਵਾਂ, ਅਤੇ ਅਵਾਸ ਲਈ ਫ਼ੰਡ ਦਿੱਤੇ ਜਾਣ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਂਦੇ ਹੋ।
",ਪੰਜਾਬੀ ,https://drive.google.com/drive/folders/1j34BJbWx1LSj6pXcmzXzA-QcfQ0s5hP2?usp=sharing
Romanian,Bottom,Recensământul din 2020,broșură,telefon mobil,chestionar de recensământ,comunitate,confidențial,loc în congres,studii,servicii de urgență,finanțare federală,ghid,gospodărie,limbă,ghid lingvistic (ghid pentru participarea la Recensământul din 2020),persoană care se confruntă cu lipsa unui adăpost,confidențialitate,protejat prin lege,chestionar,trimiterea chestionarului,Titlul 13,Biroul pentru recensământ al SUA,Site web,,,Limba Română ,https://drive.google.com/drive/folders/19KbD89xy3lwW6qY-Tn4grSA-JdKMWWro?usp=sharing
Russian,Top,Перепись населения 2020 года,брошюра,мобильный телефон,анкета переписи населения,местное сообщество,конфиденциальный,место в Конгрессе,образование,аварийно-спасательные службы,федеральный бюджет,руководство,домохозяйство,язык,руководство на иностранном языке (руководство по заполнению анкеты Переписи населения 2020 года),бездомный (бездомная),приватность,защищаемый законом,анкета,отправка Вашей анкеты,Титул 13,Бюро переписи населения США,веб-сайт,844-417-2020,,Русский,https://drive.google.com/drive/folders/1g8jl0eCPSK5LlZ9-wSAT4-7AivDrEB6l?usp=sharing
Samoan,Bottom,2020 Tusiga igoa,,,,,,,,,,faamatalaga faaopoopo,,,,,,,,tuʻuina atu lau pepa,,Iunaite Setete o Amerika Ofisa o Tusiga igoa,Upegalagi,,,Samoa,https://drive.google.com/drive/folders/1kLUXnRH0DCA-FN9auBe0sSZRs-CMLJo_?usp=sharing
Serbian,Bottom,Popis stanovništva 2020. godine,brošura,mobilni telefon,upitnik za popis stanovništva,zajednica,poverljivo,kongresni predstavnik,obrazovanje,hitna služba,savezno finansiranje,vodič,domaćinstvo,jezik,jezički vodič (vodič za popunjavanje popisa stanovništva 2020. godine),osoba suočena sa beskućništvom,privatnost,zaštićeno zakonom,upitnik,slanje upitnika,Poglavlje 13,Američki biro za popis stanovništva,veb-sajt,,,Cpпски  ,https://drive.google.com/drive/folders/1qrwpLGrJp0MwfXUOrze--4w5EFHhr7jE?usp=sharing
Sinhala,Bottom,2020 සංගණනය,අත් පත්‍රිකාව,ජංගම දුරකථනය,සංගණන ප්‍රශ්නාවලිය,ප්‍රජාව,රහස්‍ය,කොන්ග්‍රස් ආසනය,අධ්‍යාපනය,හදිසි සේවා,ෆෙඩරල් අරමුදල්,උපදෙස් මාර්ගෝපදේශය,කුටුම්භ,භාෂාව,භාෂා මාර්ගෝපදේශය (2020 සංගණනය සම්පූර්ණ කිරීමට මාර්ගෝපදේශය),නිවාස නැතිකම අත්විඳින පුද්ගලයා,"රහස්‍යතාවය
",නීතියෙන් ආරක්ෂා කර ඇත,ප්‍රශ්නාවලිය,ඔබේ ප්‍රශ්නාවලිය ඉදිරිපත් කිරීම,නියාමන අනුකූලතාවය 13,එක්සත් ජනපද සංගණන කාර්යාංශය,වෙබ් අඩවිය,,,සිංහල ,https://drive.google.com/drive/folders/1jCC_nuUluQpCCm0e2EQmYY04i-dHE7Fl?usp=sharing
Slovak,Bottom,Sčítanie obyvateľstva 2020,brožúra,mobilný telefón,sčítací dotazník,komunita,dôverný,poslanecké kreslo,vzdelanie,záchranné služby,federálny rozpočet,príručka,domácnosť,jazyk,jazyková príručka (príručka na vykonanie sčítania obyvateľstva v roku 2020),bezdomovec,súkromie,chránený zákonom,dotazník,odoslanie vášho dotazníka,Hlava 13,Úrad pre sčítanie obyvateľstva USA,webová stránka,,,Slovenčina,https://drive.google.com/drive/folders/1C0zJu0SoH6TN5jKso_y7USTnxtVLQEg-?usp=sharing
Somali,Bottom,Tirakoobka 2020,xayeysiis qoran,taleefanka gacanta,su’aalaha qoran ee tirakoobka,deegaan,qarsoodi,kursiga kongareeska,waxbarasho,adeegyo degdeg ah,maalgelinta faderaalka,hoggaan,qoys,luuqad,hoggaanka luuqadda (hoggaanka lagu buuxiyo Tirakoobka 2020),qof ay hayso guri la’aan,arrimo shakhsi ah,xafidan sharci ahaan,su’aalo qoran,soo-gudbinta su’aalaha qoran,Sharciga 13,Xafiiska Tirakoobka Mareykanka,Shabakadda intarnetka,,,Af Soomaali,https://drive.google.com/drive/folders/1NYn7cbWkD13wGztd4IgtWWY6-lKXL9v0?usp=sharing
Spanish,Top,Censo del 2020,folleto,teléfono celular,cuestionario del censo,comunidad,confidencial,escaño en el Congreso,educación,servicios de emergencia,fondos federales,guía,hogar,idioma,guía lingüística (guía para completar el Censo del 2020),persona sin hogar,privacidad,protegido(a) por ley,cuestionario,enviar su cuestionario,Título 13,Oficina del Censo de los EE. UU.,sitio web,844-468-2020,"HÁGASE CONTAR EN EL CENSO 2020.  Cuando responde, está garantizando fondos para su comunidad, educación,
caminos, atención médica, servicios sociales y vivienda.",Español   ,https://drive.google.com/open?id=1bdBeMAAfpbNWg5n1lcpvxit54F-IUH_j
Swahili,Bottom,Sensa ya mwaka 2020,broshua,simu ya rununu,orodha ya maswali ya sensa,jumuiya,ya siri,kiti cha bunge,elimu,huduma za dharura,fedha za shirikisho,mwongozo,kaya,lugha,mwongozo wa lugha (mwongozo wa jinsi ya kujaza Sensa ya mwaka 2020),mtu asiye na makazi,faragha,utetezi kwa sheria,orodha ya maswali,kuwasilisha orodha ya maswali yako,Kichwa cha Makala 13,Shirika la Sensa ya Marekani,Tovuti,,,Kiswahili  ,https://drive.google.com/drive/folders/15Tr17e3Sbd9lpCbSQ7Br_8SdVnp_5ozP?usp=sharing
Tagalog,Top,2020 Senso,pulyeto,cell phone,palatanungan ng senso,komunidad,kompedensiyal,puwesto sa kongreso,edukasyon,serbisyong emerhensiya,pederal na pagpopondo,patnubay,sambahayan (mga magkakasama sa tirahan),wika,patnubay sa wika (patnubay sa pagkumpleto ng 2020 Senso),taong nakakaranas na mawalan ng tirahan,pagkapribado,protektado ng batas,palatanungan,pagsusumite ng iyong palatanungan,Titulo 13,Kawanihan ng Senso ng U.S.,Web site,844-478-2020,"MAGPABILANG SA CENSUS 2020. Kapag kinumpleto mo ang senso, ikaw ay makakatulong sa pagkakaroon ng pondo
para sa iyong komunidad, edukasyon, mga daanan, pag-aalaga sa kalusugan,
mga serbisyong panlipunan at pabahay.",Wikang Tagalog,https://drive.google.com/drive/folders/1KNHN453oCVZrGDdEsF8kZMQU6-G4ZLfA?usp=sharing
Tamil,Bottom,2020 மக்கள் தொகை கணக்கெடுப்பு,சிற்றேடு,கைப்பேசி,மக்கள் தொகை கணக்கெடுப்பு வினாத்தாள்,சமுதாயம்,இரகசிய,காங்கிரஸ் இருக்கை,கல்வி,அவசரநிைலச் ேசைவகள்,கூட்டாட்சி நிதி,வழிகாட்டி,குடும்பத்தினர்,மொழி,மொழி வழிகாட்டி (2020 மக்கள் தொகை கணக்கெடுப்பை முடிக்க வழிகாட்டி),வாழ் வதற்கான நிரந்தர இடம்,தனியுரிமை,சட்டத்தால் பாதுகாக்கப்பட்டு,கேள்வித்தாளை,உங்கள் கேள்வித்தாளை சமர்ப்பித்தல்,தலைப்பு 13,ஐக்கிய நாடுகளின் மக்கள் தொகை கணக்கெடுப்பு பணியகம்,இணையதளம்,,,தமிழ்  ,https://drive.google.com/drive/folders/1ynsh5-l8-TAHAB_QWeFQO9524BmsQEZb?usp=sharing
Telugu,Bottom,2020 జనాభా గణన,కరపత్రం,సెల్ ఫోన్,జనాభా గణన లెక్కల ప్రశ్నాపత్రం,సమాజం,గోప్యత,కాంగ్రెస్ సీటు,చదువు,అత్యవసర సేవలు,సమాఖ్య నిధులు,మార్గదర్శ,గృహం,భాషా,భాషా గైడ్ (2020 జనాభా లెక్కలను పూర్తి చేయడానికి గైడ్),నిరాశ్రయులను ఎదుర్కొంటున్న వ్యక్తి,గోప్యతా,చట్టం ద్వారా రక్షించబడింది,ప్రశ్నాపత్రం,మీ ప్రశ్నపత్రాన్ని సమర్పించడం,శీర్షిక 13,యు.ఎస్. సెన్సస్ బ్యూరో,వెబ్సైట్,,"2020 జనాభా గణనలో లెక్కించబడండి. మీరు పర్తిసప్ందించినపుప్డు, మీరు మీ కమూయ్నిటీకి, విదయ్, రోడుల్,
ఆరోగయ్ సంరకష్ణ, సామాజిక సేవలు మరియు గృహాలకు నిధులను
నిరాధ్రిసాత్రు.",తెలుగు  ,https://drive.google.com/drive/folders/1UDnBw1GILvRNpVTyESqo-7BV2Zbaj8UX?usp=sharing
Thai,Bottom,สํามะโนประชากร ค.ศ. 2020,โบรชวร์,โทรศัพทม์  ือถอื,แบบสอบถามสํามะโน,ชุมชน,เป็ นความลบั,ตําแหน่งสมาชกิ  รัฐสภา,การศกษา,บรการชว่ ยเหลอฉุกเฉนิ,กองทนุ  รัฐบาลกลาง,คมู่  ือ,ครัวเรอน,ภาษา,"คมู่  อื  แนะนําดานภาษา
(คมู่  อื  แนะนําการตอบแบบสอบถามสํามะโนประชากร ค.ศ. 2020)",บคุ  คลทปี่  ระสบภาวะไรบ้  าน,ความเป็ นสวนตัว,ไดร้ ับการคมุ ้ ครองตามกฎหมาย,แบบสอบถาม,การสง่ แบบสอบถามของทา่  น,บรรพ 13,สํานักงานสํามะโนสหรัฐฯ,เว็บไซต์,,,ภาษาไทย  ,https://drive.google.com/drive/folders/1jjcHlTjrvsfmAgxS4w-lUs-SpVS2Z7bk?usp=sharing
Tibetan,Bottom,,,,,,,,,,,,,,,,,,,,,,,,,བོད་སྐད,https://drive.google.com/drive/folders/13fQQyRcWfwo3HKbFNvZvqFtoTHpx8473?usp=sharing
Tigrinya,Bottom,2020 ቆፀራ ህዝቢ,ብሮሸር,ተንቀሳቓሲ ስልኪ,ናይ ቆፀራ ህዝቢ መጠይቕ,ከባቢ,ምስጢራዊ,ናይ ምኽሪ ቤት ወንበር,ትምህርቲ,ናይ ሃንደበታዊ ግዜ ኣገልግሎት,ፌደራል ፈንድ,መምርሒ,ኣባል ቤተሰብ,ቋንቋ,ናይ ቋንቋ መምርሒ (ነቲ 2020 ቆፀራ ህዝቢ ንምምላእ ዝቐረበ መምርሒ),ኣብ ጎደና ሓደርነት ዝርከብ ሰብ,ግላዊነት,ብሕጊ ዝተኸለለ,መጠይቕ,መጠይቅ ምርካብ,ኣርእስቲ 13,ዩናይትድ ስቴትስ ቆፀራ ህዝቢ ቢሮ,መርበብ ሓበሬታ,,,ትግርኛ,https://drive.google.com/drive/folders/1B48qkm76glPvz-MMF7v6j_KrmurdF_d7?usp=sharing
Tongan,Bottom,2020 tohi kakai,,,,,,,,,,Fakahinohino ki he fakamatala,,,,,,,,fakahu ho'o ngaahi fehu'i,,Iunaiteti Siteiti 'o e 'ofisi tohi kakai 'o 'Amelika,uepisaiti,,,lea fakatonga,https://drive.google.com/drive/folders/1SyJfy-n9y3_MpmQzYxq-Prja6b3Pyh8B?usp=sharing
Turkish,Bottom,2020 Nüfus Sayımı,broşür,cep telefonu,nüfus sayım formu,topluluk,gizli,kongre temsilciliği,eğitim,acil hizmetler,federal fonlama,kılavuz,hane,dil,dil kılavuzu (2020 Nüfus Sayımı formunu doldurma kılavuzu),evsiz kişi,gizlilik,kanunla korunan,soru formu,formunuzu gönderme,13 Sayılı Kanun,A.B.D. Nüfus Sayım Bürosu,Web sitesi,,,Türkçe ,https://drive.google.com/drive/folders/1AhgKAJpqhaYskZNnzzPaESPQHVwLkvob?usp=sharing
Twi,Bottom,2020 Nnipakan,nwoma,ahomatrofo,nnipakan ho nsԑmmisa,kuro,kokoamsԑm,abadwakuo akonwa,adesua,mpofirim dwumadie,mmoa a ԑfiri aban nkabom hↄ,nhwԑsoↄ,efie kԑse,kasa,kasa akwankyerԑ (nhwԑsoↄhwԑ ԑbԑboa ama w’awie 2020 Nnipakan),obi a wↄnni fie mu tena,kokoamsԑm,mmara bↄ ho ban,nsemmisa,rede nsԑmmisa no resan akↄ,Ti 13,U.S. Nnipakan Asoeԑ,Wԑbsaite,,,Twi,https://drive.google.com/drive/folders/1jN-bkvBGZ0fQrT4prnZy4OfpFdbwcUJC?usp=sharing
Ukrainian,Bottom,Перепис населення 2020 р.,брошура,стільниковий телефон,опитувальник Бюро перепису населення,громада,конфіденційний,місце у Конгресі,освіта,аварійно-рятівні служби,федеральне фінансування,керівництво,домашнє господарство,мова,керівництво на іноземній мові (керівництво із проходження перепису населення 2020 р.),безпритульна особа,приватність,захищений законодавством,опитувальник,подання вашого опитувальника,Розділ 13,Бюро перепису населення США,веб-сайт,,,українська мова ,https://drive.google.com/drive/folders/14Cs5QcLuBRh52G-rVuirwLy5OSyN4cWj?usp=sharing
Urdu,Bottom,2020 مردم شماری,ہچباتک,نوف ل?س,ہمانلاوس اک یر�ش مدرم,کمیونٹی,رازدارانہ,کانگریس کی نشست,تعلیم,ہنگامی خدمات,گنڈنف وفاقی ,رہنما,گھریلو,زبان,زبان کے رہنما (2020 مردم شماری مکمل کرنے کے لئے رہنما),صخش او ےنرک انماس اک یرھگ ےب,افخا,قانون کے ذریعہ محفوظ,سوالنامہ,اپنی سوالنامہ جمع کروانا,عنوان 13,امریکی مردم شماری بیورو,ویب سائٹ,,,اردو ,https://drive.google.com/drive/folders/1rALfNk7VqYRZqOKGtQm-W3znVjKxe-05?usp=sharing
Vietnamese,Top,Thống Kê Dân Số 2020,quyển sách nhỏ,điện thoại di động,bản câu hỏi thống kê dân số,cộng đồng,bảo mật,ghế trong quốc hội,giáo dục,các dịch vụ khẩn cấp,ngân quỹ liên bang,hướng dẫn,hộ gia đình,ngôn ngữ,hướng dẫn trả lời câu hỏi (hướng dẫn để hoàn thành Thống Kê Dân Số 2020),người đang trong tình trạng vô gia cư,"cá nhân, riêng tư",được luật pháp bảo vệ,bản câu hỏi,gửi nộp bản câu hỏi,Tiêu Đề 13,Cục Thống Kê Dân Số Hoa Kỳ,trang mạng,844-461-2020,"Hãy tham gia Thống kê Dân số 2020. Khi bạn phản hồi, bạn đảm bảo khoản tài trợ
cho cộng đồng, giáo dục, đường xá, chăm sóc
sức khỏe, dịch vụ xã hội và nhà ở của bạn.",Tiếng Việt,https://drive.google.com/drive/folders/1uNCYODMtfxKnIsjbTP4s6qbC8ZoAndCe?usp=sharing
Yiddish,Bottom,סוזנע  2020,רושארב,עקליבאמ,ןגיובעגארפֿ סוזנע ,הליהק,לעי נעדיפֿנאק,סערגנאק ןיא טרא יז,גנודליב,טסניד־לאפֿטױנ,רעטלעג עלארעדעפֿ,רעזײװגעװ,דניזעגזױה,ךארפּש,)סוזנע  2020 יד ןליפֿו סױא יוזאַ  יװ רעזײװגעװ( רעזײװגעװ־ךארפּש,טײקימײהנאָ  רעביא טבעל סאװ שטנעמ,טײקטאװירפּ,ץעזעג םעד ךרוד ט ישאב,ןגיובעגארפֿ,ןגיובעגארפֿ רעײא ןבעגנײא,13 לטיט,ןטאַ טש עטקינײאראפֿ יד ןופֿ ארויב סוזנע ,לטײזבעװ,,, ייִדיש,https://drive.google.com/drive/folders/1ZkwUTMN6BVh5F5NAeaqDtk19z6ZtAuuR?usp=sharing
Yoruba,Bottom,Ìkànìyàn 2020,ìwé pélébé,fóònù aláàgbéká,ìwé ìfọ̀rọ̀wánilẹ́nuwò ìkànìyàn,àwọn tí ńgbé ní agbègbè kan,ohun àṣírí,ìjókòó ilé ìgbímọ̀ aṣòfin,ẹ̀kọ́,àwọn iṣẹ́ pàjáwìrì,ìnáwó ìjọba àpapọ̀,ìtọ́sọ́nà,ìdílé,èdè,ìtọ́sọ́nà èdè (ìtọ́sọ́nà sí kíkópa nínú Ìkànìyàn 2020),ẹnití ńní ìrírí àìrílégbé,ìpamọ́,tí òfin dáàbòbò,ìwé ìfọ̀rọ̀wánilẹ́nuwò,fífi ìwé ìfọ̀rọ̀wánilẹ́nuwò rẹ ṣọwọ́,Àkolé 13,Ilé-iṣẹ́ Ìkànìyàn Ilẹ̀ Amẹ́ríkà,Ojúlé òpó wẹ́ẹ̀bù,,,Èdè Yorùbá ,https://drive.google.com/drive/folders/1XyQvW3eDO54mTAU4LgjcaO_4JnKX2brH?usp=sharing